étape 1,étape 2,étape 3,étape 4,étape 5,étape 6,étape 7,étape 8,étape 9,étape 10,étape 11,étape 12,étape 13,étape 14,étape 15,étape 16,étape 17,étape 18,étape 19,étape 20,acquisition_year,acquisition_mode,creation_date,domain,adn_complet,adn_simplifie,nbExpos,probaExpoAns,probaEvtsAns,artisteDom,natioArtiste
acquisition,dépot,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,AD,AD,,0,0.06666666666666667,étranger,népalaise
acquisition,dépot,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,AD,AD,,0,0.06666666666666667,étranger,népalaise
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,étranger,japonaise
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,britannique
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,étranger,suisse
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Oeuvre en 3 dimensions,A,A,,0,0.03333333333333333,étranger,argentine
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat en salon,,Peinture,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat en salon,,Peinture,A,A,,0,0.03333333333333333,étranger,roumaine (avant 1948)
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,A,A,,0,0.03333333333333333,étranger,irlandaise
acquisition,dépot,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,AD,AD,,0,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,étranger,croate
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat en salon,,Estampe,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,français,française
acquisition,dépot,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AD,AD,,0,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,A,A,,0,0.03333333333333333,français,française (yougoslave à la naissance)
acquisition,dépot,,,,,,,,,,,,,,,,,,,1981,Achat,,Peinture,AD,AD,,0,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,argentine (française, polonaise à la naissance)
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,yougoslave
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Photographie,A,A,,0,0.03333333333333333,français,française (allemande à la naissance)
acquisition,exposition,dépot,,,,,,,,,,,,,,,,,,1981,Achat,,Oeuvre en 3 dimensions,AED,AED,,0.03333333333333333,0.1,français,française (argentine à la naissance)
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat en salon,,Estampe,A,A,,0,0.03333333333333333,français,française
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat en salon,,Dessin,AE,AE,,0.03333333333333333,0.06666666666666667,étranger,chinoise
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,indienne
acquisition,,,,,,,,,,,,,,,,,,,,1980,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,indienne
