deposit_year,deposit_loc,deposit_category,weight
1988,En dépôt depuis le 18/11/1988 : Secrétariat d'Etat auprès du Premier Ministre chargé de l'économie sociale (Paris),dépôt non culturel,0.0012970168612191958
1994,En dépôt depuis le 08/02/1994 : Musée Pierre Noël/ Musée de la vie dans les Hautes-Vosges (Saint-Dié),dépôt culturel,0.0014992503748125937
1990,"En dépôt depuis 1990 : Musée de Valence, art et archéologie",dépôt culturel,0.0012195121951219512
,En dépôt depuis 1000 : Bibliothèque nationale - Site Richelieu (Paris),dépôt culturel,NaN
1989,En dépôt depuis 1989 : Ministère des affaires étrangères (Paris),dépôt non culturel,0.0010050251256281408
1988,En dépôt depuis le 20/05/1988 : Mairie de Pessac,dépôt non culturel,0.0012970168612191958
2014,En dépôt depuis le 24/10/2014 : Musée du dessin et de l'estampe originale (Gravelines),dépôt culturel,0.0008084074373484236
2011,En dépôt depuis le 23/03/2011 : Ambassade de France (Bratislava),dépôt non culturel,0.0008084074373484236
1995,En dépôt depuis le 15/09/1995 : Musée des Beaux-Arts de Quimper,dépôt culturel,0.0017094017094017094
1988,En dépôt depuis le 12/12/1988 : Musée national des arts d'Afrique et d'Océanie (Paris),dépôt culturel,0.0012970168612191958
1983,En dépôt depuis 1983 : Musée Baron Martin (Gray),dépôt culturel,0.0006203473945409429
1992,En dépôt depuis le 27/11/1992 : Secrétariat général du gouvernement (Paris),dépôt non culturel,0.001142857142857143
1987,En dépôt depuis le 04/06/1987 : Musée municipal A.G. Poulain (Vernon),dépôt culturel,0.001579778830963665
2001,En dépôt depuis le 26/07/2001 : Consulat général de France (Genève),dépôt non culturel,0.0005577244841048522
1988,En dépôt depuis 1988 : Ministère des Affaires Sociales et de l'Emploi (Paris),dépôt non culturel,0.0012970168612191958
2003,En dépôt depuis le 03/10/2003 : Représentation permanente de la France auprès de l'Office des Nations Unies (Genève),dépôt non culturel,0.0007861635220125787
1989,En dépôt depuis 1989 : Musée national des arts d'Afrique et d'Océanie (Paris),dépôt culturel,0.0010050251256281408
2001,En dépôt depuis le 08/06/2001 : Ecole nationale d'administration (Paris),dépôt non culturel,0.0005577244841048522
1992,En dépôt depuis le 27/11/1992 : Secrétariat général du gouvernement (Paris),dépôt non culturel,0.001142857142857143
2005,En dépôt depuis le 08/09/2005 : Ambassade de France (Rabat),dépôt non culturel,0.001201923076923077
1987,En dépôt depuis 1987 : Musée Cantini (Marseille),dépôt culturel,0.001579778830963665
1987,En dépôt depuis 1987 : Musée Cantini (Marseille),dépôt culturel,0.001579778830963665
1987,En dépôt depuis 1987 : Musée Cantini (Marseille),dépôt culturel,0.001579778830963665
1993,En dépôt depuis le 10/05/1993 : Ambassade de France (Kuala Lumpur),dépôt non culturel,0.0007518796992481203
1989,En dépôt depuis le 15/06/1989 : Ambassade de France (Port-Louis),dépôt non culturel,0.0010050251256281408
2012,En dépôt depuis le 15/06/2012 : Représentation permanente de la France auprès de l'Office des Nations Unies (Genève),dépôt non culturel,0.0008084074373484236
2008,En dépôt depuis le 29/10/2008 : Ambassade de France (Andorre-la-Vieille),dépôt non culturel,0.0010193679918450561
1990,En dépôt depuis le 03/04/1990 : Ambassade de France (Mascate),dépôt non culturel,0.0012195121951219512
